thedate,num,name
2020-04-05,202,Rotherham
2020-04-05,201,Trafford
2020-04-05,200,Barnsley
2020-04-05,195,Leicester
2020-04-05,194,Oldham
2020-04-05,191,Nottingham
2020-04-05,189,Richmond upon Thames
2020-04-05,188,Northumberland
2020-04-05,187,Cornwall and Isles of Scilly
2020-04-05,185,Bradford
2020-04-05,185,Kirklees
2020-04-05,184,St Helens
2020-04-05,171,Cheshire East
2020-04-05,168,Wirral
2020-04-05,168,Gateshead
2020-04-05,167,"Bristol, City of"
2020-04-05,167,Cheshire West and Chester
2020-04-05,163,Luton
2020-04-05,160,North Tyneside
2020-04-05,156,Wigan
2020-04-05,156,Kingston upon Thames
2020-04-05,155,Milton Keynes
2020-04-05,155,Rochdale
2020-04-05,155,East Sussex
2020-04-05,153,Medway
2020-04-05,153,Wakefield
2020-04-05,147,Southampton
2020-04-05,145,Tameside
2020-04-05,143,Slough
2020-04-05,143,Shropshire
2020-04-05,137,Doncaster
2020-04-05,133,Bolton
2020-04-05,133,Knowsley
2020-04-05,132,Central Bedfordshire
2020-04-05,126,Middlesbrough
2020-04-05,124,Bury
2020-04-05,122,Warrington
2020-04-05,120,Wiltshire
2020-04-05,113,South Gloucestershire
2020-04-05,108,Stockton on Tees
2020-04-05,106,Stoke on Trent
2020-04-05,105,Thurrock
2020-04-05,101,Wokingham
2020-04-05,99,Windsor and Maidenhead
2020-04-05,99,Somerset
2020-04-05,97,Plymouth
2020-04-05,97,Southend on Sea
2020-04-05,97,Bedford
2020-04-05,96,Portsmouth
2020-04-05,95,Dorset
2020-04-05,89,Reading
2020-04-05,89,Calderdale
2020-04-05,88,East Riding of Yorkshire
2020-04-05,85,"Bournemouth, Christchurch and Poole"
2020-04-05,84,Redcar and Cleveland
2020-04-05,84,Brighton and Hove
2020-04-05,84,South Tyneside
2020-04-05,80,West Berkshire
2020-04-05,75,Halton
2020-04-05,73,Telford and Wrekin
2020-04-05,71,York
2020-04-05,66,Blackpool
2020-04-05,66,North Somerset
2020-04-05,63,Blackburn with Darwen
2020-04-05,62,"Herefordshire, County of"
2020-04-05,58,Bath and North East Somerset
2020-04-05,57,Bracknell Forest
2020-04-05,54,Torbay
2020-04-05,51,North Lincolnshire
2020-04-05,50,Swindon
2020-04-05,48,Peterborough
2020-04-05,45,Darlington
2020-04-05,43,North East Lincolnshire
2020-04-05,32,Isle of Wight
2020-04-05,31,"Kingston upon Hull, City of"
2020-04-05,29,Hartlepool
2020-04-05,6,Rutland
2020-04-06,1287,Birmingham
2020-04-06,921,Hampshire
2020-04-06,887,Surrey
2020-04-06,882,Sheffield
2020-04-06,870,Hertfordshire
2020-04-06,858,Essex
2020-04-06,838,Lancashire
2020-04-06,791,Kent
2020-04-06,759,Brent
2020-04-06,753,Cumbria
2020-04-06,685,Southwark
2020-04-06,671,Lambeth
2020-04-06,666,Barnet
2020-04-06,620,Croydon
2020-04-06,570,Staffordshire
2020-04-06,530,Newham
2020-04-06,526,Wandsworth
2020-04-06,521,Bromley
2020-04-06,510,Liverpool
2020-04-06,503,Ealing
2020-04-06,494,Derbyshire
2020-04-06,490,Lewisham
2020-04-06,469,Harrow
2020-04-06,450,Oxfordshire
2020-04-06,428,Northamptonshire
2020-04-06,425,Nottinghamshire
2020-04-06,394,Worcestershire
2020-04-06,389,Waltham Forest
2020-04-06,383,Westminster
2020-04-06,362,Hackney and City of London
2020-04-06,361,Warwickshire
2020-04-06,359,Newcastle upon Tyne
2020-04-06,359,Walsall
2020-04-06,359,Tower Hamlets
2020-04-06,353,Sandwell
2020-04-06,350,Enfield
2020-04-06,348,Hillingdon
2020-04-06,338,Hounslow
2020-04-06,338,Leicestershire
2020-04-06,325,Leeds
2020-04-06,323,Manchester
2020-04-06,322,Greenwich
2020-04-06,316,Merton
2020-04-06,311,Redbridge
2020-04-06,306,Gloucestershire
2020-04-06,304,Wolverhampton
2020-04-06,301,Norfolk
2020-04-06,300,Buckinghamshire
2020-04-06,298,Camden
2020-04-06,296,Dudley
2020-04-06,292,County Durham
2020-04-06,285,Haringey
2020-04-06,278,Sunderland
2020-04-06,275,Lincolnshire
2020-04-06,272,Kensington and Chelsea
2020-04-06,269,North Yorkshire
2020-04-06,266,Hammersmith and Fulham
2020-04-06,264,Sefton
2020-04-06,263,Derby
2020-04-06,263,Coventry
2020-04-06,262,Sutton
2020-04-06,257,Islington
2020-04-06,250,Bexley
2020-04-06,248,Havering
2020-04-06,246,Stockport
2020-04-06,243,Suffolk
2020-04-06,242,Salford
2020-04-06,236,St Helens
2020-04-06,229,Devon
2020-04-06,224,West Sussex
2020-04-06,222,Trafford
2020-04-06,222,Cambridgeshire
2020-04-06,221,Rotherham
2020-04-06,220,Wirral
2020-04-06,216,Oldham
2020-04-06,216,Barnsley
2020-04-06,215,Solihull
2020-04-06,211,Leicester
2020-04-06,211,"Bristol, City of"
2020-04-06,211,Northumberland
2020-04-06,211,Barking and Dagenham
2020-04-06,204,Nottingham
2020-04-06,204,Bradford
2020-04-06,200,Cheshire West and Chester
2020-04-06,200,Richmond upon Thames
2020-04-06,198,Cornwall and Isles of Scilly
2020-04-06,198,Kirklees
2020-04-06,196,Cheshire East
2020-04-06,185,Wigan
